cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
38,0101000020E61000008ED7721D99CD0DC06C83C94395394440,node/3456445082,node/3456445082,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
39,0101000020E6100000869DCEBAEBD10DC0E86A2BF697394440,node/3456445083,node/3456445083,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
40,0101000020E6100000A745D84BAECD0DC06232B0E99C394440,node/3456445084,node/3456445084,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
41,0101000020E6100000DCEADE2F0BD20DC012DFE412A2394440,node/3456445085,node/3456445085,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
42,0101000020E61000009768DA0FC2CD0DC053245F09A4394440,node/3456445086,node/3456445086,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
43,0101000020E61000006600B90E1FD20DC049AB6BFEA9394440,node/3456445087,node/3456445087,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
44,0101000020E6100000B5B35483D5CD0DC03DE30C0FAB394440,node/3456445088,node/3456445088,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
45,0101000020E6100000D32C75351ED10DC052758F6CAE394440,node/3456445089,node/3456445089,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
46,0101000020E6100000F844E8B177D00DC029386167AF394440,node/3456445090,node/3456445090,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
47,0101000020E6100000CE431262D3CF0DC0B201C754B0394440,node/3456445091,node/3456445091,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
